"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"429" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"430" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"431" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"432" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"433" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"434" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"435" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"436" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"437" "low" "low" "18-24" "18-24" "<18" "18-24" "open"
"438" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"439" "high" "high" "<18" "<18" "<18" "<18" "closed"
"440" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"441" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"442" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"443" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"444" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"445" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"446" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"447" "low" "low" "18-24" ">24" "<18" "18-24" "open"
"448" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"449" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"450" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"451" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"452" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"453" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"454" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"455" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"456" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"457" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"458" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"459" "low" "low" "<18" "18-24" "<18" "18-24" "closed"
"460" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"461" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"462" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"463" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"464" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"465" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"466" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"467" "high" "low" "18-24" "18-24" "18-24" "<18" "closed"
"468" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"469" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"470" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"471" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"472" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"473" "high" "low" "18-24" ">24" "18-24" "18-24" "closed"
"474" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"475" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"476" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"477" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"478" "low" "low" ">24" ">24" "<18" "18-24" "open"
"479" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"480" "high" "low" ">24" ">24" ">24" ">24" "open"
"481" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"482" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"483" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"484" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"485" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"486" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"487" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"488" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"489" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"490" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"491" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"492" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"493" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"494" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"495" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"496" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"497" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"498" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"499" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"500" "low" "high" "18-24" ">24" "18-24" ">24" "open"
"501" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"502" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"503" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"504" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"505" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"506" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"507" "low" "low" "<18" "<18" "18-24" "<18" "open"
"508" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"509" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"510" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"511" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"512" "high" "high" "<18" "<18" "<18" "<18" "closed"
"513" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"514" "low" "low" "<18" "18-24" "<18" "<18" "open"
"515" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"516" "high" "high" "18-24" ">24" "18-24" ">24" "open"
"517" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"518" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"519" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"520" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"521" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"522" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"523" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"524" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"525" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"526" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"527" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"528" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"529" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"530" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"531" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"532" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"533" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"534" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"535" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"536" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"537" "high" "low" "18-24" "<18" "<18" "<18" "open"
"538" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"539" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"540" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"541" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"542" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"543" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"544" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"545" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"546" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"547" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"548" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"549" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"550" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"551" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"552" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"553" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"554" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"555" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"556" "high" "low" "18-24" "<18" "<18" "<18" "open"
"557" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"558" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"559" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"560" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"561" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"562" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"563" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"564" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"565" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"566" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"567" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"568" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"569" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"570" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"571" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"572" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"573" "high" "high" "18-24" ">24" "<18" "18-24" "closed"
"574" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"575" "high" "low" "<18" "<18" "<18" "<18" "open"
"576" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"577" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"578" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"579" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"580" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"581" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"582" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"583" "high" "high" "<18" "18-24" "18-24" ">24" "open"
"584" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"585" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"586" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"587" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"588" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"589" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"590" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"591" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"592" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"593" "high" "low" "18-24" "<18" "<18" "<18" "open"
"594" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"595" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"596" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"597" "high" "low" "<18" ">24" "18-24" ">24" "open"
"598" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"599" "low" "high" "18-24" "18-24" ">24" "18-24" "closed"
"600" "low" "low" ">24" "18-24" "<18" "<18" "open"
"601" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"602" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"603" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"604" "low" "low" "18-24" "<18" "<18" "<18" "open"
"605" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"606" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"607" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"608" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"609" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"610" "low" "low" "<18" "<18" ">24" ">24" "open"
"611" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"612" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"613" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"614" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"615" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"616" "low" "low" "18-24" "<18" "<18" "<18" "open"
"617" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"618" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"619" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"620" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"621" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"622" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"623" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"624" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"625" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"626" "high" "high" ">24" "18-24" "<18" "18-24" "open"
"627" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"628" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"629" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"630" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"631" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"632" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"633" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"634" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"635" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"636" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"637" "high" "low" "18-24" "<18" "<18" "<18" "open"
"638" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"639" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"640" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"641" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"642" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"643" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"644" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"645" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"646" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"647" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"648" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"649" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"650" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"651" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"652" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"653" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"654" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"655" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"656" "low" "high" "18-24" "18-24" "<18" "18-24" "open"
"657" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"658" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"659" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"660" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"661" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"662" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"663" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"664" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"665" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"666" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"667" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"668" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"669" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"670" "low" "low" "<18" "<18" "18-24" "18-24" "open"
"671" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"672" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"673" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"674" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"675" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"676" "low" "low" "18-24" ">24" ">24" "18-24" "open"
"677" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"678" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"679" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"680" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"681" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"682" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"683" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"684" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"685" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"686" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"687" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"688" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"689" "high" "high" "18-24" "18-24" "<18" "18-24" "open"
"690" "low" "low" "<18" "18-24" "<18" "<18" "closed"
"691" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"692" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"693" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"694" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"695" "high" "low" ">24" "18-24" "<18" "<18" "open"
"696" "high" "low" "18-24" ">24" ">24" ">24" "open"
"697" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"698" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"699" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"700" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"701" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"702" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"703" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"704" "high" "low" "18-24" "<18" "<18" "<18" "open"
"705" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"706" "low" "high" ">24" "18-24" "18-24" "18-24" "open"
"707" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"708" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"709" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"710" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"711" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"712" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"713" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"714" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"715" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"716" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"717" "low" "low" "<18" "18-24" "18-24" ">24" "closed"
"718" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"719" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"720" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"721" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"722" "low" "low" "<18" "<18" "18-24" "<18" "closed"
"723" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"724" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"725" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"726" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"727" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"728" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"729" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"730" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"731" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"732" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"733" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"734" "low" "high" "<18" "<18" "18-24" "18-24" "closed"
"735" "low" "high" ">24" ">24" "<18" ">24" "closed"
"736" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"737" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"738" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"739" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"740" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"741" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"742" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"743" "low" "low" "18-24" "<18" "<18" "<18" "open"
"744" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"745" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"746" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"747" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"748" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"749" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"750" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"751" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"752" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"753" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"754" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"755" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"756" "high" "high" ">24" "18-24" "18-24" "18-24" "closed"
"757" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"758" "low" "low" "18-24" "18-24" ">24" "18-24" "open"
"759" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"760" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"761" "high" "low" "18-24" "<18" "<18" "<18" "closed"
"762" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"763" "low" "low" "<18" "18-24" "18-24" "<18" "closed"
"764" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"765" "high" "high" "18-24" "<18" "<18" "<18" "open"
"766" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"767" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"768" "low" "low" "18-24" "<18" "<18" "<18" "open"
"769" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"770" "low" "low" "18-24" ">24" ">24" "18-24" "open"
"771" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"772" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"773" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"774" "low" "low" ">24" ">24" "<18" ">24" "closed"
"775" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"776" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"777" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"778" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"779" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"780" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"781" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"782" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"783" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"784" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"785" "low" "high" "18-24" "18-24" "18-24" "<18" "closed"
"786" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"787" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"788" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"789" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"790" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"791" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"792" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"793" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"794" "high" "high" "<18" "<18" "18-24" ">24" "open"
"795" "low" "low" "<18" "18-24" "18-24" ">24" "closed"
"796" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"797" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"798" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"799" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"800" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"801" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"802" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"803" "high" "low" ">24" "18-24" "<18" "18-24" "open"
"804" "high" "low" ">24" "18-24" ">24" ">24" "open"
"805" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"806" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"807" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"808" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"809" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"810" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"811" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"812" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"813" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"814" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"815" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"816" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"817" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"818" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"819" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"820" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"821" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"822" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"823" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"824" "high" "low" "18-24" "18-24" "<18" "18-24" "closed"
"825" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"826" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"827" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"828" "low" "low" "18-24" "<18" "<18" "<18" "open"
"829" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"830" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"831" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"832" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"833" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"834" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"835" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"836" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"837" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"838" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"839" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"840" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"841" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"842" "high" "low" "18-24" "<18" "<18" "<18" "open"
"843" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"844" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"845" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"846" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"847" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"848" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"849" "low" "high" "18-24" "18-24" "18-24" ">24" "open"
"850" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"851" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"852" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"853" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"854" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"855" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"856" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"857" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"858" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
